"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.15,0.11,-0.38,0.07
"ami_dummyAmi",1.13,0.21,0.71,1.54
"serum_ami_high",-0.24,0.25,-0.73,0.26
"nal_dummyNal",0.34,0.16,0.02,0.65
"ankk_c1",0.19,0.2,-0.2,0.58
"dat1_c1",-0.34,0.2,-0.74,0.06
"comt_s",-0.01,0.1,-0.21,0.19
"darpp_c1",0.09,0.2,-0.32,0.49
"ami_dummyAmi:ankk_c1",0.43,0.41,-0.36,1.21
"ami_dummyAmi:dat1_c1",-0.03,0.37,-0.76,0.69
"ami_dummyAmi:comt_s",0.25,0.19,-0.1,0.61
"ami_dummyAmi:darpp_c1",0.39,0.4,-0.39,1.17
"serum_ami_high:ankk_c1",-0.26,0.46,-1.17,0.63
"serum_ami_high:dat1_c1",0.52,0.41,-0.31,1.32
"serum_ami_high:comt_s",-0.07,0.22,-0.48,0.36
"serum_ami_high:darpp_c1",-0.38,0.44,-1.24,0.49
"nal_dummyNal:ankk_c1",-0.12,0.29,-0.69,0.44
"nal_dummyNal:dat1_c1",0.51,0.3,-0.08,1.11
"nal_dummyNal:comt_s",-0.12,0.16,-0.43,0.19
"nal_dummyNal:darpp_c1",-0.25,0.29,-0.83,0.34
