"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",0.7,0.07,0.57,0.84
"session2",-0.01,0.1,-0.21,0.19
"prev_points",0.43,0.05,0.34,0.52
"prev_state_diffdifferent",-0.53,0.1,-0.73,-0.34
"ami_dummyAmi",-0.08,0.09,-0.27,0.1
"nal_dummyNal",-0.12,0.1,-0.32,0.07
"session2:prev_points",0.08,0.05,-0.02,0.18
"session2:prev_state_diffdifferent",0.04,0.13,-0.21,0.31
"prev_points:prev_state_diffdifferent",-0.25,0.05,-0.34,-0.16
"session2:ami_dummyAmi",-0.08,0.14,-0.35,0.2
"prev_points:ami_dummyAmi",0.04,0.06,-0.09,0.16
"prev_state_diffdifferent:ami_dummyAmi",0.04,0.13,-0.22,0.3
"session2:nal_dummyNal",0.17,0.14,-0.11,0.44
"prev_points:nal_dummyNal",-0.05,0.06,-0.18,0.07
"prev_state_diffdifferent:nal_dummyNal",0.01,0.14,-0.26,0.27
"session2:prev_points:prev_state_diffdifferent",-0.03,0.05,-0.13,0.07
"session2:prev_points:ami_dummyAmi",-0.14,0.07,-0.27,-0.01
"session2:prev_state_diffdifferent:ami_dummyAmi",0.2,0.19,-0.17,0.55
"prev_points:prev_state_diffdifferent:ami_dummyAmi",-0.03,0.07,-0.16,0.1
"session2:prev_points:nal_dummyNal",0.02,0.07,-0.12,0.15
"session2:prev_state_diffdifferent:nal_dummyNal",-0.24,0.18,-0.6,0.13
"prev_points:prev_state_diffdifferent:nal_dummyNal",0.01,0.06,-0.11,0.14
"session2:prev_points:prev_state_diffdifferent:ami_dummyAmi",0.18,0.07,0.04,0.32
"session2:prev_points:prev_state_diffdifferent:nal_dummyNal",0.02,0.07,-0.13,0.16
