"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",0.19,0.12,-0.05,0.43
"ami_dummyAmi",-0.32,0.2,-0.71,0.07
"serum_ami_high",0.06,0.28,-0.5,0.6
"nal_dummyNal",-0.09,0.18,-0.44,0.27
"Sex1",0.01,0.26,-0.5,0.52
"Weight_s",0.04,0.14,-0.23,0.31
"Age_s",-0.02,0.1,-0.22,0.18
"wm_s",-0.06,0.06,-0.18,0.07
"pos_mood_diff_s",-0.02,0.07,-0.15,0.11
"neg_mood_diff_s",0.02,0.17,-0.31,0.35
"PANAS_1_negative_s",-0.01,0.11,-0.23,0.21
"PANAS_1_positive_s",-0.04,0.08,-0.2,0.11
"ami_dummyAmi:Sex1",0.04,0.42,-0.78,0.85
"ami_dummyAmi:Weight_s",0.17,0.25,-0.32,0.66
"ami_dummyAmi:Age_s",-0.06,0.18,-0.42,0.28
"serum_ami_high:Sex1",0.41,0.55,-0.66,1.48
"serum_ami_high:Weight_s",-0.15,0.28,-0.69,0.42
"serum_ami_high:Age_s",-0.09,0.29,-0.66,0.47
"nal_dummyNal:Sex1",-0.16,0.36,-0.88,0.57
"nal_dummyNal:Weight_s",-0.13,0.18,-0.48,0.24
"nal_dummyNal:Age_s",0.17,0.17,-0.16,0.5
